"","x"
"227","Raphaëlle Besse Desmoulières"
"228","Alexandre Lemarié"
"229","Alexandre Lemarié"
"230","Abel Mestre"
"231","Virginie Malingre"
"232","Pierre Trouvé"
"233","Alexandre Lemarié"
"234","Cédric Pietralunga"
"235","Gérard Courtois"
"236","Anne-Aël Durand"
"237","Adrien Sénécat"
"238","Françoise Fressoz"
"239","Adrien Sénécat"
"240","Soazig Le Nevé"
"241","Romain Geoffroy"
"242","Romain Geoffroy"
"243","Jean-Michel Bezat"
"244","Thomas Wieder"
"245","Philippe Ricard"
"246","Sylvia Zappi"
"247","Sarah Belouezzane"
"248","Bertrand Bissuel"
"249","Virginie Malingre"
"250","Michel Noblecourt"
"251","Adrien Sénécat"
"252","Anne-Aël Durand"
"253","Agathe Dahyot"
"254","Adrien Sénécat"
"255","Pierre Breteau"
"256","Maryline Baumard"
"257","Audrey Tonnelier"
"258","Bertrand Bissuel"
"259","Sarah Belouezzane"
"260","Elise Barthet"
"261","Camille Stromboni"
"262","Jean-Baptiste Jacquin"
"263","Adrien Sénécat"
"264","Patrick Roger"
"265","Joséfa Lopez"
"266","Patrick Roger"
"267","Isabelle Rey-Lefebvre"
"268","Alain Beuve-Méry"
"269","Patrick Roger"
"270","Gérard Courtois"
"271","Solenn de Royer"
"272","Bastien Bonnefous"
"273","Isabelle Mandraud"
"274","Abel Mestre"
"275","Raphaëlle Besse Desmoulières"
"276","Frédéric Bobin"
"277","Julia Pascual"
"278","Patrick Roger"
"279","Julia Pascual"
"280","Pierre Bouvier"
"281","Camille Stromboni"
"282","Violaine Morin"
"283","Isabelle Rey-Lefebvre"
"284","Cécile Bouanchaud"
"285","Patrick Roger"
"286","Cécile Ducourtieux"
"287","Thomas Wieder"
"288","Abel Mestre"
"289","Cédric Pietralunga"
"290","Pierre Le Hir"
"291","Marc Bettinelli"
"292","Pierre Trouvé"
"293","Joséfa Lopez"
"294","François Bougon"
"295","Alexandre Lemarié"
"296","Joël Morio"
"297","Adrien Sénécat"
"298","Patrick Roger"
