"","x"
"1","Olivier Faye"
"2","Isabelle Rey-Lefebvre"
"3","Mathilde Damgé"
"4","Cédric Pietralunga"
"5","Frédéric Bobin"
"6","Audrey Tonnelier"
"7","Benoît Floc'h"
"8","Michel Noblecourt"
"9","Alexandre Lemarié"
"10","Alexandre Piquard"
"11","François Bougon"
"12","Jean-Michel Bezat"
"13","Cécile Ducourtieux"
"14","Sarah Belouezzane"
"15","Bertrand Bissuel"
"16","Simon Piel"
"17","Solenn de Royer"
"18","Raphaëlle Besse Desmoulières"
"19","Patrick Roger"
"20","Abel Mestre"
"21","Laurence Girard"
"22","Cécile Prudhomme"
"23","Jérôme Porier"
"24","Olivier Faye"
"25","Françoise Fressoz"
"26","Nathalie Guibert"
"27","Samuel Laurent"
"28","Pierre Breteau"
"29","Patrick Roger"
"30","Bertrand Bissuel"
"31","Béatrice Jérôme"
"32","Patrick Roger"
"33","Sarah Belouezzane"
"34","Alexandre Lemarié"
"35","Maxime Vaudano"
"36","Violaine Morin"
"37","Cédric Pietralunga"
"38","Lucie Soullier"
"39","Manon Rescan"
"40","Cécile Chambraud"
"41","Bastien Bonnefous"
"42","Cédric Pietralunga"
"43","Solenn de Royer"
"44","Abel Mestre"
"45","Olivier Faye"
"46","Emeline Cazi"
"47","Olivier Faye"
"48","Lucie Soullier"
"49","Solenn de Royer"
"50","Olivier Faye"
"51","Rémi Barroux"
"52","Olivier Faye"
"53","Abel Mestre"
"54","Bastien Bonnefous"
"55","Isabelle Rey-Lefebvre"
"56","Isabelle Chaperon"
"57","Bertrand Bissuel"
"58","Sylvia Zappi"
"59","Bastien Bonnefous"
"60","Cédric Pietralunga"
"61","Solenn de Royer"
"62","Manon Rescan"
"63","Cédric Pietralunga"
"64","Olivier Faye"
"65","François Béguin"
"66","Sandrine Cabut"
"67","Laetitia Clavreul"
"68","Ariane Chemin"
"69","Nicolas Chapuis"
"70","Lucie Soullier"
"71","Denis Cosnard"
"72","Philippe Escande"
"73","Olivier Faye"
"74","Denis Cosnard"
"75","Philippe Escande"
"76","Jean-Baptiste de Montvalon"
"77","Françoise Fressoz"
"78","Elise Barthet"
"79","Cécile Ducourtieux"
"80","Solenn de Royer"
"81","Solenn de Royer"
"82","Bastien Bonnefous"
"83","Audrey Tonnelier"
"84","Audrey Tonnelier"
"85","Nathalie Guibert"
"86","Alain Beuve-Méry"
"87","Alexandre Lemarié"
"88","Manon Rescan"
"89","Cécile Chambraud"
"90","Mathilde Damgé"
"91","Cédric Pietralunga"
"92","Sarah Belouezzane"
"93","Bertrand Bissuel"
"94","Alexandre Lemarié"
"95","Maryline Baumard"
"96","Manon Rescan"
"97","Olivier Faye"
"98","Olivier Faye"
"99","Isabelle Rey-Lefebvre"
"100","Abel Mestre"
"101","Patrick Roger"
"102","Solenn de Royer"
"103","Raphaëlle Besse Desmoulières"
"104","Bertrand Bissuel"
"105","Françoise Fressoz"
"106","Patrick Roger"
"107","Patrick Roger"
"108","Patrick Roger"
"109","Patrick Roger"
"110","Stéphane Mandard"
"111","Audrey Tonnelier"
"112","Gérard Courtois"
"113","Soazig Le Nevé"
"114","Mathilde Damgé"
"115","Jérôme Porier"
"116","Béatrice Jérôme"
